imagem,fator_bloco
bloco_001.png,0.95884702
bloco_002.png,0.98104449
bloco_003.png,1.00717319
bloco_004.png,0.96826099
bloco_005.png,1.00698564
bloco_006.png,1.00716799
bloco_007.png,1.00787556
bloco_008.png,1.00722484
bloco_009.png,1.00482434
bloco_010.png,1.00791191
bloco_011.png,1.00716635
bloco_012.png,1.00735541
bloco_013.png,0.99412999
bloco_014.png,1.00717990
bloco_015.png,1.00622945
bloco_016.png,1.00413228
bloco_017.png,0.97208401
bloco_018.png,0.94788662
bloco_019.png,0.99835258
bloco_020.png,1.00019971
bloco_021.png,1.00647014
bloco_022.png,1.00715233
bloco_023.png,0.99991144
bloco_024.png,0.99363152
bloco_026.png,1.00787224
bloco_028.png,0.88091403
